1852,3035,1840,3027,1842,3024,1855,3031
2069,3064,2059,3047,2148,3009,2154,3027
1884,3030,1884,2967,2096,2967,2096,3030
1893,2974,1890,2968,1922,2964,1925,2970
1785,2967,1778,2959,1784,2955,1790,2963
2147,2971,2100,2960,2111,2914,2158,2925
1808,2983,1804,2922,1891,2918,1895,2979
1959,2910,1955,2906,1965,2898,1968,2900
1795,2949,1778,2902,1866,2872,1883,2919
1799,2933,1795,2915,1840,2902,1844,2919
2164,2918,2132,2910,2137,2891,2169,2899
2200,2914,2154,2902,2158,2890,2204,2902
1785,2879,1785,2868,1815,2868,1815,2879
2144,2896,2140,2864,2205,2854,2210,2888
2200,2869,2161,2864,2164,2847,2203,2853
2069,2853,2059,2843,2072,2830,2083,2841
1950,2847,1927,2841,1930,2831,1952,2838
1861,2849,1815,2843,1817,2831,1863,2836
1157,2902,1130,2865,1187,2819,1215,2858
2167,2842,2167,2832,2201,2832,2201,2842
301,2862,301,2816,354,2816,354,2862
527,2861,527,2813,575,2813,575,2861
1851,2832,1822,2828,1824,2816,1854,2820
1944,2914,1944,2797,2059,2797,2059,2914
1449,2860,1446,2812,1717,2805,1720,2853
945,2917,879,2884,933,2779,1000,2813
2147,2816,2137,2798,2196,2771,2201,2789
988,2918,962,2766,1130,2739,1157,2891
1250,2918,1210,2773,1308,2747,1349,2892
1869,2809,1801,2779,1810,2763,1874,2793
760,2970,675,2768,879,2687,963,2888
2115,2805,2104,2745,2211,2725,2222,2785
2111,2771,2100,2754,2150,2722,2161,2741
2111,2760,2046,2745,2051,2720,2116,2734
2179,2748,2147,2724,2158,2711,2189,2736
1823,2834,1783,2729,2025,2639,2065,2744
1879,2755,1861,2748,1865,2737,1883,2744
1883,2741,1863,2733,1869,2722,1887,2730
2096,2686,2054,2679,2057,2668,2098,2675
2029,2676,2011,2676,2011,2665,2029,2665
2205,2725,2098,2656,2111,2634,2218,2703
2150,2513,1804,2506,1806,2460,2153,2467
706,2503,706,2462,1050,2462,1050,2503
287,2505,285,2456,566,2450,568,2503
1456,2510,1453,2454,1737,2443,1740,2503
1962,2380,1962,2363,1982,2363,1982,2380
1954,2401,1759,2358,1769,2318,1963,2362
2009,2367,2000,2351,2064,2316,2073,2332
2121,2276,2048,2235,2075,2189,2147,2230
1749,2223,1745,2212,1765,2207,1767,2219
1880,2230,1788,2222,1792,2176,1884,2184
1785,2238,1740,2197,1774,2163,1819,2200
1395,2233,1392,2173,1758,2171,1760,2227
1663,2203,1663,2190,1685,2190,1685,2203
1638,2214,1581,2208,1584,2184,1641,2189
282,2223,279,2169,573,2165,575,2218
1420,2235,698,2226,701,2158,1422,2166
1183,2195,1183,2182,1207,2182,1207,2195
1737,2080,1660,2054,1689,1971,1766,1997
1872,1939,1840,1920,1861,1886,1893,1908
702,1942,702,1882,1222,1882,1222,1942
396,1935,393,1882,580,1878,582,1931
280,1937,280,1882,386,1882,386,1937
2100,2041,1890,1909,1945,1826,2154,1958
1460,1422,1100,1415,1102,1338,1463,1340
1165,799,1147,782,1166,761,1185,779
1185,782,1185,768,1190,768,1190,782
1531,830,1520,748,1610,735,1621,820
1143,825,1039,811,1048,735,1154,749
1208,820,1208,737,1371,737,1371,820
1364,825,1364,728,1528,728,1528,825
887,820,884,727,1058,722,1061,814
1224,741,1215,733,1221,728,1228,735
1114,741,1114,728,1139,728,1139,741
1069,733,1069,727,1087,727,1087,733
1356,694,1356,689,1393,689,1393,694
1246,697,1243,685,1339,681,1342,693
1222,694,1165,686,1168,674,1225,682
1101,677,1058,651,1068,640,1107,666
835,473,481,465,484,447,838,454
2205,465,2161,454,2172,406,2217,417
2073,454,1862,450,1865,410,2076,413
1719,459,1719,410,1763,410,1763,459
867,469,289,456,292,353,870,365
1456,307,1434,254,1460,243,1484,296
1859,97,1859,92,1887,92,1887,97
