82,1112,82,1087,112,1087,112,1112
521,1113,519,1085,650,1082,652,1110
483,1122,475,1063,503,1059,512,1118
472,1215,153,1191,166,1031,485,1055
450,1024,450,1001,636,1001,636,1024
448,1030,-5,1026,-4,996,450,1001
538,879,10,876,12,852,540,856
453,765,27,760,29,736,455,741
446,674,44,663,46,644,448,656
817,657,47,637,49,619,819,639
488,618,50,604,52,581,490,595
388,458,388,407,504,407,504,458
309,288,307,252,583,246,585,282
304,161,124,158,126,144,306,148
228,148,161,144,163,135,230,136
164,137,162,121,212,119,214,133
618,143,616,123,806,115,808,135
4,88,4,81,20,81,20,88
