2009,3447,2009,3404,2359,3404,2359,3447
80,3457,77,3413,1822,3401,1825,3448
80,3353,80,3311,807,3311,807,3353
2019,3049,1783,3044,1786,2960,2022,2966
1810,2984,1785,2984,1785,2966,1810,2966
2058,2941,2052,2941,2052,2936,2058,2936
1786,2968,1719,2963,1722,2912,1791,2917
1913,2895,1909,2825,2122,2813,2125,2880
1702,2941,1675,2825,1904,2775,1931,2892
2070,2826,2064,2797,2110,2788,2116,2817
1794,2715,1794,2709,1804,2709,1804,2715
956,2995,338,2978,350,2560,968,2578
733,2830,728,2804,770,2797,775,2823
478,2952,409,2744,701,2649,773,2857
541,2692,541,2676,554,2676,554,2692
608,2689,594,2676,608,2664,621,2677
1332,2654,1329,2644,1347,2638,1350,2649
1749,2728,1722,2654,1915,2590,1941,2665
1599,2298,1599,2292,1617,2292,1617,2298
1301,2324,1238,2281,1263,2246,1327,2283
359,1881,359,1870,391,1870,391,1881
2207,1890,2147,1881,2150,1861,2210,1870
637,1822,637,1811,657,1811,657,1822
2181,1820,2181,1807,2220,1807,2220,1820
597,1806,597,1800,611,1800,611,1806
859,1804,845,1800,848,1794,862,1798
1245,1781,1226,1781,1226,1776,1245,1776
1108,1787,1108,1773,1190,1773,1190,1787
2071,1775,2071,1763,2096,1763,2096,1775
1989,1737,1989,1724,2017,1724,2017,1737
289,1671,289,1624,524,1624,524,1671
289,1568,289,1511,630,1511,630,1568
286,1467,283,1408,2184,1398,2187,1457
169,1359,166,1308,882,1303,885,1354
818,1226,815,1156,1626,1149,1628,1219
150,984,147,934,739,927,742,976
1320,973,1317,932,1518,930,1521,966
1082,978,1082,931,1247,931,1247,978
147,772,144,725,786,721,789,767
1584,607,1581,566,2126,562,2129,602
137,619,134,489,1289,475,1292,605
289,560,284,548,311,541,314,553
1475,448,1475,398,1703,398,1703,448
393,370,388,370,388,363,393,363
433,385,433,351,576,351,576,385
152,395,152,348,356,348,356,395
83,243,83,194,754,194,754,243
1077,240,1074,189,1427,185,1430,237
2371,299,602,210,612,-2,2381,84
