2076,3210,1849,3205,1852,3115,2079,3119
1867,3140,1839,3128,1849,3108,1873,3119
2124,3137,2065,3102,2115,3021,2175,3056
2110,3032,2106,3018,2134,3011,2139,3023
1755,3013,1747,3013,1747,3008,1755,3008
1822,3020,1822,3004,1836,3004,1836,3020
2133,3014,2110,3010,2113,2998,2136,3002
1884,3029,1854,2999,1864,2994,1894,3023
1765,3144,1725,2969,1815,2950,1857,3124
261,3013,261,2961,315,2961,315,3013
475,3008,475,2957,532,2957,532,3008
1123,3062,1069,3056,1078,2940,1137,2944
1185,3068,1165,2940,1258,2926,1278,3055
1398,2997,1395,2940,1669,2932,1672,2989
2161,2979,2095,2975,2098,2932,2164,2935
847,3004,805,2983,849,2915,891,2941
1914,3070,1899,2909,2055,2896,2070,3052
880,3102,880,2874,1075,2874,1075,3102
1813,2918,1813,2904,1845,2904,1845,2918
789,3119,651,3100,687,2861,825,2880
736,3045,732,3040,736,3037,739,3040
1765,2897,1765,2878,1797,2878,1797,2897
2095,2906,2053,2865,2089,2830,2131,2871
1797,2963,1738,2897,1891,2769,1950,2834
2076,2877,1983,2834,2008,2785,2100,2824
1815,2802,1804,2785,1864,2750,1875,2767
256,2641,253,2589,522,2584,525,2636
661,2636,661,2589,1002,2589,1002,2636
1396,2624,1393,2571,1668,2565,1671,2618
1743,2620,1740,2573,2079,2567,2082,2611
250,2248,247,2190,529,2184,532,2241
657,2245,654,2193,1491,2180,1494,2232
1489,2020,1486,1984,1563,1979,1566,2016
235,1937,235,1879,526,1879,526,1937
646,1939,643,1887,1443,1870,1446,1921
876,1819,795,1779,805,1760,886,1800
1014,1388,991,1382,994,1370,1017,1376
1113,1265,1113,1237,1251,1237,1251,1265
1132,910,1128,821,1297,813,1300,901
825,903,825,813,1159,813,1159,903
1279,904,1275,810,1537,793,1543,889
607,829,607,810,652,810,652,829
1183,742,1171,742,1171,737,1183,737
1344,743,1333,732,1353,714,1363,726
1126,683,1083,675,1086,656,1129,664
1281,672,1278,661,1300,654,1303,664
1153,660,1150,642,1177,640,1182,653
1240,609,1237,591,1314,585,1317,603
1315,585,1315,580,1333,580,1333,585
1150,580,1150,575,1164,575,1164,580
666,585,666,568,754,568,754,585
1120,550,1117,531,1230,528,1233,546
226,616,223,493,790,476,795,603
1611,543,1611,496,1665,496,1665,543
1758,533,1755,490,1963,488,1966,528
475,507,475,496,496,496,496,507
1692,527,1692,490,1719,490,1719,527
2053,530,2053,486,2100,486,2100,530
1228,470,1185,460,1189,442,1233,452
1114,476,1114,447,1156,447,1156,476
1056,410,1056,393,1099,393,1099,410
1123,368,1123,341,1218,341,1218,368
1009,363,1006,344,1048,339,1051,358
973,365,963,346,996,328,1006,347
