57,3399,54,3353,1811,3345,1814,3388
1998,3389,1995,3348,2345,3343,2348,3386
61,3295,59,3252,693,3247,696,3290
1298,2968,1298,2962,1310,2962,1310,2968
1992,3040,1667,2962,1701,2835,2022,2912
1669,2898,1648,2726,2121,2673,2141,2845
2069,2751,2069,2741,2094,2741,2094,2751
1737,2688,1721,2688,1721,2676,1737,2676
2062,2716,1907,2617,1949,2551,2104,2652
1734,2679,1706,2593,1910,2530,1936,2616
1053,2729,320,2726,323,2403,1056,2408
664,2569,664,2551,687,2551,687,2569
833,2625,805,2546,909,2511,937,2590
456,2604,453,2526,653,2520,656,2599
495,1613,258,1608,261,1558,498,1563
602,1509,419,1502,422,1453,605,1459
426,1510,256,1505,259,1449,429,1454
256,1403,253,1347,2172,1343,2175,1394
140,1298,140,1248,859,1248,859,1298
795,1167,792,1094,1607,1089,1610,1161
119,923,116,875,714,867,717,917
1298,913,1298,873,1504,873,1504,913
1055,919,1055,870,1220,870,1220,919
118,711,118,663,764,663,764,711
1564,551,1561,509,2115,505,2118,547
118,519,115,471,1139,465,1142,514
1453,393,1453,345,1684,345,1684,393
402,327,402,293,549,293,549,327
116,335,116,292,323,292,323,335
51,186,48,137,723,131,726,180
1050,181,1048,133,1403,127,1406,176
1244,141,1244,93,1352,93,1352,141
1282,127,1270,123,1275,113,1288,121
2358,240,572,190,578,-37,2364,11
687,104,683,100,687,88,699,100
825,64,819,60,825,54,829,60
